System:Cr-Mo
Last Edited: 2015-11-20
Format:--------------------------------------------------------------------------- 
DataId  DataType        y           yMod    sigy        Wt.     x        x1	x2      References	
                   
#************************START#									
1	aA-A2-T-1          0.914       0       0.0457	0.5	1471    0.2	0	61-Laf
2	aA-A2-T-1          0.788       0       0.0394	1	1471    0.4	0	61-Laf
3	aA-A2-T-1          0.682       0       0.0341	0.5	1471	0.6     0	61-Laf
4	aA-A2-T-1          0.605       0       0.03025	1	1471	0.7     0	61-Laf
5	aA-A2-T-1          0.527       0       0.02635	0.5	1471	0.8     0	61-Laf
6	aA-A2-T-1          0.387       0       0.01935	1	1471    0.85		0	61-Laf
7	aA-A2-T-1          0.299       0       0.01495	1	1471    0.9		0	61-Laf
8	aA-A2-T-1          0.174       0       0.0087	1	1471    0.95		0	61-Laf
9	aA-A2-T-1          0.893       0       0.04465	0.5	1471    0.207		0	65-Kub
10	aA-A2-T-1          0.683       0       0.03415	0.5	1471    0.613		0	65-Kub
11	aA-A2-T-1          0.496       0       0.0248	0.5	1471    0.810		0	65-Kub

12	Hm-A2-T-1          3117.1      0       300 	1.0	1673    0.1		0	65-Kub
13	Hm-A2-T-1          5204.9      0       300 	1.0	1673    0.2		0	65-Kub
14	Hm-A2-T-1          6506.1      0       300 	1.0	1673    0.3		0	65-Kub
15	Hm-A2-T-1          7154.6      0       300 	1.0	1673    0.4		0	65-Kub
16	Hm-A2-T-1          7217.4      0       300 	1.0	1673    0.5		0	65-Kub
17	Hm-A2-T-1          6694.4      0       300 	1.0	1673    0.6		0	65-Kub
18	Hm-A2-T-1          5627.5      0       300 	1.0	1673    0.7		0	65-Kub
19	Hm-A2-T-1          4029.2      0       300 	1.0	1673    0.8		0	65-Kub
20	Hm-A2-T-1          2071.1      0       300 	1.0	1673    0.9		0	65-Kub

21	aA-A2-T-1           0.1870      0       0.0094	1	1873    0.916		0	86-Jac
22	aA-A2-T-1          0.3340      0       0.0167	1	1873    0.83		0	86-Jac
23	aA-A2-T-1          0.4540      0       0.0227	1	1873    0.74		0	86-Jac
24	aA-A2-T-1          0.5380      0       0.0269	1	1873    0.66		0	86-Jac
25	aA-A2-T-1          0.6470      0       0.0324	1	1873    0.52		0	86-Jac
26	aA-A2-T-1          0.7040      0       0.0352	1	1873    0.43		0	86-Jac
27	aA-A2-T-1          0.7720      0       0.0386	1	1873    0.31		0	86-Jac
28	aA-A2-T-1          0.8480      0       0.0424	1	1873    0.19		0	86-Jac

//Miscibility Gap Data
//29	MGT1-A2-T-1       1178        1200    5           1	0.442	0.01	0	1965-Kub
//Solidus Data
//30      CXTB-L-RK-1-A2-T-1   2129        2130    5        	1	0.2654	0.20	0	79-Koc-bcc/liq
//31      CXTB-L-RK-1-A2-T-1	2181        2180    5           1	0.3415	0.30	0	79-Koc-bcc/liq
32      CXXB-L-RK-1-A2-T-1	0.4484    0.4484    0.01	1	2224	0.40	0	79-Koc-bcc/liq
33      CXXB-L-RK-1-A2-T-1	0.5584    0.5584    0.01	1	2302	0.40	0	79-Koc-bcc/liq
34      CXXB-L-RK-1-A2-T-1	0.76      0.7600    0.01	1	2472	0.50	0	69-Rud-bcc/liq
35      CXXB-L-RK-1-A2-T-1	0.90      0.9000    0.01	1	2679	0.50	0	69-Rud-bcc/liq

#************************STOP#
//Liquidus Data (in the left side of congruent point)
36	CXTB-A2-T-1-L-RK-1	2166        2166    5   	0.5	0.0236	0.01	0	54-Blo-liq/bcc
37	CXTB-A2-T-1-L-RK-1	2166        2166    5   	0.5     0.0318	0.01	0	54-Blo-liq/bcc
38	CXTB-A2-T-1-L-RK-1	2138        2138    5     	1	0.0568	0.01	0	51-Put-liq/bcc
//39	CXTB-A2-T-1-L-RK-1	2135        2135    5   	0	0.0836	0.01	0	54-Blo-liq/bcc
40	CXTB-A2-T-1-L-RK-1	2135        2135    5   	1	0.0873	0.01	0	51-Put-liq/bcc
//41	CXTB-A2-T-1-L-RK-1	2135        2135    5   	0	0.0907	0.01	0	54-Blo-liq/bcc
//Liquidus Data (in the right side of congruent point)
42	CXTA-L-RK-1-A2-T-1	2138        2138    5   	1	0.1479	0.99	0	51-Put-liq/bcc
43	CXTA-L-RK-1-A2-T-1	2141        2141    5   	1	0.1628	0.99	0	51-Put-liq/bcc
44	CXTA-L-RK-1-A2-T-1	2146        2146    5   	1	0.1885	0.99	0	54-Blo-liq/bcc
45      CXTA-L-RK-1-A2-T-1	2159        2159    5   	1	0.2175	0.99	0	51-Put-liq/bcc
46	CXTA-L-RK-1-A2-T-1	2196        2196    5   	1	0.2654	0.99	0	64-Sve-liq/bcc
47	CXXA-L-RK-1-A2-T-1	0.3515      0.35    0.01	1	2296	0.99	0	64-Sve-liq/bcc
48	CXXA-L-RK-1-A2-T-1	0.4484      0.45    0.01	1	2409	0.99	0	64-Sve-liq/bcc
49	CXXA-L-RK-1-A2-T-1	0.5584      0.56    0.01	1	2507	0.99	0	79-Koc-liq/bcc
50	CXXA-L-RK-1-A2-T-1	0.6843      0.684   0.01	1	2618	0.99	0	79-Koc-liq/bcc
51	CXXA-L-RK-1-A2-T-1	0.8300      0.83    0.01	1	2789	0.99	0	79-Koc-liq/bcc
#************************STOP#
//0       COPT-A2-RK-1        0.0         1150    0.0         1.0     0.4     0.0     0.0     -   
//1	CXXA-L-RK-1-A2-RK-1	0.8300      0.83    0.01	1	2789	0.99	0	79-Koc-liq/bcc
//1       TDP-A2-RK-1  0.0         0.0     0.0         1.0     0.0     1500.0  0.0     -
//1       IntgQuant-A2-T-1  0.0         0.0     0.0         1.0     0.0     1500.0  0.0     -
//2       IntgQuant-S-1  0.0         0.0     0.0         1.0     0.0     1500.0  0.0     -




12	H-A2-T-1          3117.1      0       155.9	1.0	0.9	1673	0	65-Kub
