T_K,G_kJ_per_mol_fu
298.15,-41.637198
308.15,-42.621076
318.15,-43.629344
328.15,-44.661369
338.15,-45.716551
348.15,-46.794320
358.15,-47.894136
368.15,-49.015482
378.15,-50.157869
388.15,-51.320827
398.15,-52.503911
408.15,-53.706693
418.15,-54.928766
428.15,-56.169740
438.15,-57.429242
448.15,-58.706913
458.15,-60.002410
468.15,-61.315403
478.15,-62.645576
488.15,-63.992625
498.15,-65.356257
508.15,-66.736190
518.15,-68.132154
528.15,-69.543885
538.15,-70.971133
548.15,-72.413653
558.15,-73.871212
568.15,-75.343580
578.15,-76.830540
588.15,-78.331879
598.15,-79.847391
608.15,-81.376877
618.15,-82.920145
628.15,-84.477008
638.15,-86.047285
648.15,-87.630800
658.15,-89.227382
668.15,-90.836867
678.15,-92.459092
688.15,-94.093903
698.15,-95.741147
708.15,-97.400677
718.15,-99.072348
728.15,-100.756021
738.15,-102.451560
748.15,-104.158832
758.15,-105.877708
768.15,-107.608061
778.15,-109.349770
788.15,-111.102715
798.15,-112.866779
808.15,-114.641847
818.15,-116.427813
828.15,-118.224568
838.15,-120.032010
848.15,-121.850038
858.15,-123.678554
868.15,-125.517461
878.15,-127.366667
888.15,-129.226080
898.15,-131.095611
908.15,-132.975174
918.15,-134.864683
928.15,-136.764057
938.15,-138.673215
948.15,-140.592077
958.15,-142.520567
968.15,-144.458610
978.15,-146.406132
988.15,-148.363061
998.15,-150.329327
1008.15,-152.304862
1018.15,-154.289598
1028.15,-156.283469
1038.15,-158.286412
1048.15,-160.298364
1058.15,-162.319263
1068.15,-164.349048
1078.15,-166.387662
1088.15,-168.435047
1098.15,-170.491145
1108.15,-172.555902
1118.15,-174.629263
1128.15,-176.711177
1138.15,-178.801589
1148.15,-180.900451
1158.15,-183.007712
1168.15,-185.123322
1178.15,-187.247235
1188.15,-189.379404
1198.15,-191.519781
1208.15,-193.668323
1218.15,-195.824985
1228.15,-197.989723
1238.15,-200.162496
1248.15,-202.343260
1258.15,-204.531977
1268.15,-206.728605
1278.15,-208.933104
1288.15,-211.145437
1298.15,-213.365566
1308.15,-215.593453
1318.15,-217.829061
1328.15,-220.072356
1338.15,-222.323301
1348.15,-224.581863
1358.15,-226.848007
1368.15,-229.121700
1378.15,-231.402910
1388.15,-233.691604
1398.15,-235.987751
1408.15,-238.291320
1418.15,-240.602280
1428.15,-242.920602
1438.15,-245.246257
1448.15,-247.579216
1458.15,-249.919450
1468.15,-252.266931
1478.15,-254.621633
1488.15,-256.983529
1498.15,-259.352592
1508.15,-261.728796
1518.15,-264.112116
1528.15,-266.502528
1538.15,-268.900005
1548.15,-271.304526
1558.15,-273.716064
1568.15,-276.134598
1578.15,-278.560105
1588.15,-280.992561
1598.15,-283.431946
1608.15,-285.878236
1618.15,-288.331411
1628.15,-290.791450
1638.15,-293.258332
1648.15,-295.732037
1658.15,-298.212545
1668.15,-300.699835
1678.15,-303.193890
1688.15,-305.694690
1698.15,-308.202216
1708.15,-310.716451
1718.15,-313.237375
1728.15,-315.764972
1738.15,-318.299224
1748.15,-320.840113
1758.15,-323.387624
1768.15,-325.941739
1778.15,-328.502443
1788.15,-331.069718
1798.15,-333.643551
1808.15,-336.223924
1818.15,-338.810824
1828.15,-341.404234
1838.15,-344.004141
1848.15,-346.610530
1858.15,-349.223386
1868.15,-351.842696
1878.15,-354.468447
1888.15,-357.100624
1898.15,-359.739214
1908.15,-362.384205
1918.15,-365.035583
1928.15,-367.693336
1938.15,-370.357452
1948.15,-373.027918
1958.15,-375.704723
1968.15,-378.387855
1978.15,-381.077301
1988.15,-383.773052
1998.15,-386.475096
